,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Machinery Furniture Equipment,2615000000.0,2530000000.0,2368000000.0,2073000000.0,
Properties,1505000000.0,1463000000.0,1409000000.0,1220000000.0,
Current Assets,4598000000.0,5302000000.0,5285000000.0,5005000000.0,
Hedging Assets Current,61000000.0,64000000.0,59000000.0,61000000.0,
Assets Held For Sale Current,4000000.0,72000000.0,7000000.0,143000000.0,
Restricted Cash,120000000.0,229000000.0,276000000.0,66000000.0,
Inventory,1517000000.0,1637000000.0,1825000000.0,1459000000.0,
Finished Goods,1071000000.0,1154000000.0,1266000000.0,1006000000.0,
Work In Process,87000000.0,82000000.0,88000000.0,70000000.0,
Raw Materials,359000000.0,401000000.0,471000000.0,383000000.0,
Other Receivables,341000000.0,357000000.0,358000000.0,375000000.0,
Taxes Receivable,45000000.0,80000000.0,155000000.0,155000000.0,
Accounts Receivable,1750000000.0,1705000000.0,1724000000.0,1551000000.0,
Allowance For Doubtful Accounts Receivable,-33000000.0,-36000000.0,-42000000.0,-36000000.0,
Gross Accounts Receivable,1783000000.0,1741000000.0,1766000000.0,1587000000.0,
Cash Cash Equivalents And Short Term Investments,760000000.0,1158000000.0,881000000.0,1195000000.0,
Cash And Cash Equivalents,760000000.0,1158000000.0,881000000.0,1195000000.0,
Cash Equivalents,376000000.0,740000000.0,495000000.0,674000000.0,
Cash Financial,384000000.0,418000000.0,386000000.0,521000000.0,
